Year,FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,State (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Metropolitan and Micropolitan Statistical Area,Principal City Indicator,Geographic Identifier,Area (Land),Area (Water),Total Population,Area Total,Area (Land),Area (Water),Total Population,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More races,Population 16 Years and over,Population 16 Years and over: In labor force,Population 16 Years and over: In labor force: In Armed Forces,Population 16 Years and over: In labor force: Civilian,Population 16 Years and over: In labor force: Civilian: Employed,Population 16 Years and over: In labor force: Civilian: Unemployed,Population 16 Years and over: Not in labor force,Civilian Population In Labor Force 16 Years And Over,Civilian Population In Labor Force 16 Years And Over: Employed,Civilian Population In Labor Force 16 Years And Over: Unemployed,Median household income (In 2013 Inflation adjusted dollars),Households: Gini Index,Housing units,Median year structure built,Owner-occupied housing units: Median value,Renter-occupied housing units,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: Less than 10 percent,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: 10 to 29 percent,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: 30 to 49 percent,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: 50 percent or More,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: Not computed,Renter-Occupied Paying Cash Rent: Median Gross Rent as a Percentage of Household Income In 2013,Families,Families: Income in 2013 below poverty level,Families: Income in 2013 below poverty level: Married Couple Family: With Related Child Living Bellow Poverty Level,Families: Income in 2013 below poverty level: Married Couple Family: No related children under 18 Years,"Families: Income in 2013 below poverty level: Male Householder, no wife present","Families: Income in 2013 below poverty level: Male Householder, no wife present: With related children under 18 Years","Families: Income in 2013 below poverty level: Male Householder, no wife present: No related children under 18 Years","Families: Income in 2013 below poverty level: Female Householder, no husband present","Families: Income in 2013 below poverty level: Female Householder, no husband present: With related children under 18 Years","Families: Income in 2013 below poverty level: Female Householder, no husband present: No related children under 18 Years",Families: Income in 2013 at or above poverty level,Population Age 18 to 64 for whom poverty status is determined,Population Age 18 to 64 for whom poverty status is determined: Living in Poverty,Population Age 18 to 64 for whom poverty status is determined: At or Above Poverty Level
2013,3.64E+11,"New York city; New York-Newark-Jersey City, NY-NJ-PA Metro Area (part); New York","New York city; New York-Newark-Jersey City, New York-Newark-Jersey City, New York",ny,321,0,ACSSF,26405,36,51000,3651000,35620,Y,32100US363562051000,783842402,429527437,8268999,468.4847,302.6433,165.8415,8268999,3659155,2057226,32421,1077554,4403,1189355,248885,6694673,4244118,3309,4240809,3789820,450989,2450555,4240809,3789820,450989,52259,0.5402,3380513,1948,492800,2080590,98360,823241,476588,581148,101253,31.89999962,1844540,318457,73665,41153,28784,19448,9336,174855,138611,36244,1526083,5393156,957146,4436010
2013,63108044000,"Los Angeles city; Los Angeles-Long Beach-Anaheim, CA Metro Area; California","Los Angeles city; Los Angeles-Long Beach-Anaheim, Los Angeles-Long Beach-Anaheim, California",ca,321,0,ACSSF,37860,6,44000,644000,31080,Y,32100US063108044000,,,3827261,,,,3827261,2006054,357932,20424,434846,6924,872000,129081,3062309,2034246,1414,2032832,1787083,245749,1028063,2032832,1787083,245749,49497,0.5257,1422368,1960,446100,824597,18097,288370,212744,265981,39405,36.29999924,799536,142361,42419,15113,18666,14567,4099,66163,55645,10518,657175,2505285,491940,2013345
2013,1.72E+11,"Chicago city; Chicago-Naperville-Elgin, IL-IN-WI Metro Area (part); Illinois","Chicago city; Chicago-Naperville-Elgin, Chicago-Naperville-Elgin, Illinois",il,321,0,ACSSF,21592,17,14000,1714000,16980,Y,32100US171698014000,589571105,16781658,2706101,234.1141,227.6347,6.479434,2706101,1294544,873393,7180,154506,702,320125,55651,2159678,1431906,606,1431300,1236807,194493,727772,1431300,1236807,194493,47270,0.522,1192790,1945,233200,562657,16887,227520,127976,155903,34371,32.09999847,565707,105459,21861,9358,11678,8399,3279,62562,52218,10344,460248,1773363,351415,1421948
2013,4.83E+11,"Houston city; Houston-The Woodlands-Sugar Land, TX Metro Area; Texas","Houston city; Houston-The Woodlands-Sugar Land, Houston-The Woodlands-Sugar Land, Texas",tx,321,0,ACSSF,29472,48,35000,4835000,26420,Y,32100US482642035000,1552929379,72277296,2134707,627.4958,599.5894,27.90642,2134707,1236091,501087,9216,133326,926,216418,37643,1647341,1122106,706,1121400,1016880,104520,525235,1121400,1016880,104520,45010,0.5246,907494,1976,123900,426740,15584,187295,100440,101301,22120,29.89999962,479188,93472,28784,8935,8750,6659,2091,47003,40684,6319,385716,1374190,264067,1110123
2013,4.24E+11,"Philadelphia city; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area (part); Pennsylvania","Philadelphia city; Philadelphia-Camden-Wilmington, Philadelphia-Camden-Wilmington, Pennsylvania",pa,321,0,ACSSF,22798,42,60000,4260000,37980,Y,32100US423798060000,347321129,22289408,1536704,142.7074,134.1014,8.605989,1536704,637842,665332,4433,99962,1359,88827,38949,1231556,729562,449,729113,619094,110019,501994,729113,619094,110019,37192,0.5072,668806,1946,142500,271086,7557,97617,57817,83861,24234,34.5,308924,65051,8862,6168,6713,4606,2107,43308,35271,8037,243873,973131,241051,732080
2013,43806055000,"Phoenix city; Phoenix-Mesa-Scottsdale, AZ Metro Area; Arizona","Phoenix city; Phoenix-Mesa-Scottsdale, Phoenix-Mesa-Scottsdale, Arizona",az,321,0,ACSSF,7811,4,55000,455000,38060,Y,32100US043806055000,1338256106,3221362,1473639,517.9474,516.7036,1.243775,1473639,1138688,99629,28459,46707,2625,115525,42006,1109972,733596,736,732860,655496,77364,376376,732860,655496,77364,47139,0.4717,599124,1982,158000,230270,6513,94680,56110,56653,16314,31.5,329900,59420,18396,4924,8058,6458,1600,28042,24785,3257,270480,928553,185683,742870
2013,4.84E+11,"San Antonio city; San Antonio-New Braunfels, TX Metro Area; Texas","San Antonio city; San Antonio-New Braunfels, San Antonio-New Braunfels, Texas",tx,321,0,ACSSF,29506,48,65000,4865000,41700,Y,32100US484170065000,1193811736,14968532,1359033,466.7127,460.9333,5.779383,1359033,1028360,92656,10182,32218,1538,157932,36147,1039639,674404,9949,664455,607054,57401,365235,664455,607054,57401,45722,0.4612,528607,1980,113800,211240,6582,91701,49683,48608,14666,30,313855,50080,12704,4952,4642,3369,1273,27782,23950,3832,263775,836537,145093,691444
2013,64174066000,"San Diego city; San Diego-Carlsbad, CA Metro Area; California","San Diego city; San Diego-Carlsbad, San Diego-Carlsbad, California",ca,321,0,ACSSF,37894,6,66000,666000,41740,Y,32100US064174066000,842233444,122273028,1322838,372.398,325.1882,47.20988,1322838,856834,88250,7767,216802,6375,84528,62282,1073089,722915,33242,689673,623725,65948,350174,689673,623725,65948,64058,0.4684,516951,1975,437400,248424,5262,101073,65184,64996,11909,32.5,282033,30437,8960,3461,3080,2079,1001,14936,12735,2201,251596,862552,128755,733797
2013,4.82E+11,"Dallas city; Dallas-Fort Worth-Arlington, TX Metro Area; Texas","Dallas city; Dallas-Fort Worth-Arlington, Dallas-Fort Worth-Arlington, Texas",tx,321,0,ACSSF,29456,48,19000,4819000,19100,Y,32100US481910019000,881939036,117394747,1222167,385.8449,340.5186,45.32637,1222167,686694,299642,3655,36540,420,168812,26404,934127,632368,372,631996,572721,59275,301759,631996,572721,59275,42846,0.535,523645,1975,129300,260434,8861,118479,61453,57630,14011,29.29999924,266283,54186,15801,4206,6048,4453,1595,28131,25056,3075,212097,781947,154244,627703
2013,64194068000,"San Jose city; San Jose-Sunnyvale-Santa Clara, CA Metro Area; California","San Jose city; San Jose-Sunnyvale-Santa Clara, San Jose-Sunnyvale-Santa Clara, California",ca,321,0,ACSSF,37910,6,68000,668000,41940,Y,32100US064194068000,457201438,8907829,968903,179.9658,176.5265,3.439332,968903,445070,30401,6153,317821,3187,120039,46232,757502,513562,164,513398,458131,55267,243940,513398,458131,55267,81829,0.4434,319700,1974,560400,128955,3159,55343,31397,34686,4370,31.70000076,225674,19872,6678,3088,2423,1936,487,7683,6291,1392,205802,625159,71344,553815
2013,4.81E+11,"Austin city; Austin-Round Rock, TX Metro Area; Texas","Austin city; Austin-Round Rock, Austin-Round Rock, Texas",tx,321,0,ACSSF,29439,48,5000,4805000,12420,Y,32100US481242005000,771546901,18560605,836800,305.0622,297.8959,7.16629,836800,612459,67008,4529,52285,584,75512,24423,671199,494807,577,494230,457773,36457,176392,494230,457773,36457,53946,0.4849,366459,1985,220500,185737,5445,81970,44481,47074,6767,30.60000038,178018,24026,6562,1694,2941,2236,705,12829,11308,1521,153992,579430,102673,476757
2013,1.23E+11,"Jacksonville city; Jacksonville, FL Metro Area; Florida","Jacksonville city; Jacksonville, Jacksonville, Florida",fl,321,0,ACSSF,19666,12,35000,1235000,27260,Y,32100US122726035000,1934729255,330550113,829721,874.6293,747.0032,127.6261,829721,501177,253841,2558,35972,809,9862,25502,654991,436394,10389,426005,374864,51141,218597,426005,374864,51141,47557,0.4648,367330,1982,146500,119886,2710,46244,31202,31191,8539,33.29999924,197307,26272,4221,3008,2661,1958,703,16382,13841,2541,171035,527923,82630,445293
2013,1.83E+11,"Indianapolis city (balance); Indianapolis-Carmel-Anderson, IN Metro Area; Indiana","Indianapolis city (balance); Indianapolis-Carmel-Anderson, Indianapolis-Carmel-Anderson, Indiana",in,321,0,ACSSF,11010,18,36003,1836003,26900,Y,32100US182690036003,936107645,17072644,828841,368.025,361.4332,6.591785,828841,514790,230637,2060,18759,35,40447,22113,644261,437663,465,437198,385135,52063,206598,437198,385135,52063,41962,0.4737,380531,1969,118000,146407,3523,59420,35510,38584,9370,32.29999924,191950,31793,5491,2516,4026,3324,702,19760,17475,2285,160157,525581,98516,427065
2013,64186067000,"San Francisco city; San Francisco-Oakland-Hayward, CA Metro Area; California","San Francisco city; San Francisco-Oakland-Hayward, San Francisco-Oakland-Hayward, California",ca,321,0,ACSSF,37900,6,67000,667000,41860,Y,32100US064186067000,121399963,479190317,817501,231.8892,46.87279,185.0164,817501,411561,47992,3430,272599,3461,43795,34663,719881,498293,300,497993,456845,41148,221588,497993,456845,41148,75604,0.5157,378186,1941,744600,218950,11541,100875,48088,47839,10607,28.39999962,156742,12798,2618,3501,1249,601,648,5430,3925,1505,143944,586092,77537,508555
2013,3.92E+11,"Columbus city; Columbus, OH Metro Area; Ohio","Columbus city; Columbus, Columbus, Ohio",oh,321,0,ACSSF,19443,39,18000,3918000,18140,Y,32100US391814018000,562466164,15373425,800594,223.1051,217.1694,5.935713,800594,498128,221768,1997,33804,292,16290,28315,633030,442045,581,441464,399014,42450,190985,441464,399014,42450,44072,0.4533,376002,1974,130700,173101,4983,77808,38417,42125,9768,29.70000076,173301,29412,5537,2251,3001,2098,903,18623,16211,2412,143889,530003,107955,422048
